profile,seed,n,selectivity,policy_complexity,certificate_bytes,server_generation_ms,client_verification_ms,sqlite_query_ms,authorized_rows,range_rows,tree_build_ms,semantic_checked
health_release,1759,3000,0.02,5,19607,2.456726,1.44843,0.169982,8,48,285.045512,True
health_release,1759,3000,0.05,5,36564,3.511706,2.2223,0.087779,24,132,285.045512,True
health_release,1759,3000,0.1,5,65998,4.38082,2.658754,0.166949,49,316,285.045512,True
health_release,1759,3000,0.2,5,52045,4.38737,2.529092,0.177882,112,607,285.045512,True
health_release,1789,3000,0.02,1,23538,2.882128,1.689372,0.162911,3,67,123.235551,True
health_release,1789,3000,0.05,1,41373,4.139941,2.33859,0.118463,2,155,123.235551,True
health_release,1789,3000,0.1,1,64391,4.818438,2.971389,0.099366,5,305,123.235551,True
health_release,1789,3000,0.2,1,81345,4.950441,3.117571,0.108266,11,590,123.235551,True
health_release,1789,3000,0.02,3,21744,2.115622,1.128979,0.17503,6,68,123.235551,True
health_release,1789,3000,0.05,3,38865,3.100852,1.942926,0.086215,16,160,123.235551,True
health_release,1789,3000,0.1,3,64585,4.751206,3.009008,0.095876,23,297,123.235551,True
health_release,1789,3000,0.2,3,46789,4.21424,2.436969,0.1929,58,577,123.235551,True
health_release,1789,3000,0.02,5,21570,2.943605,1.690941,0.169447,9,55,123.235551,True
health_release,1789,3000,0.05,5,35926,3.129316,1.701063,0.109457,25,137,123.235551,True
health_release,1789,3000,0.1,5,65309,4.736349,2.990015,0.114536,44,306,123.235551,True
health_release,1789,3000,0.2,5,75893,4.601477,2.966808,0.133833,86,575,123.235551,True
finance_audit,1701,3000,0.02,1,18891,2.046299,1.160989,0.143293,0,59,121.760901,True
finance_audit,1701,3000,0.05,1,37707,2.933945,1.78182,0.075021,4,157,121.760901,True
finance_audit,1701,3000,0.1,1,67076,4.981976,3.01808,0.09587,10,312,121.760901,True
finance_audit,1701,3000,0.2,1,86883,5.452333,3.657777,0.102942,7,618,121.760901,True
finance_audit,1701,3000,0.02,3,20364,2.540564,1.409357,0.224915,2,63,121.760901,True
finance_audit,1701,3000,0.05,3,33739,3.062216,1.823546,0.129396,17,129,121.760901,True
finance_audit,1701,3000,0.1,3,61150,3.95357,2.356459,0.154472,30,294,121.760901,True
finance_audit,1701,3000,0.2,3,55012,4.847745,3.001617,0.203579,75,619,121.760901,True
finance_audit,1701,3000,0.02,5,21154,2.386521,1.306349,0.233959,7,59,121.760901,True
finance_audit,1701,3000,0.05,5,38547,3.798219,2.353463,0.122718,14,138,121.760901,True
finance_audit,1701,3000,0.1,5,66869,4.955715,3.126335,0.173382,31,311,121.760901,True
finance_audit,1701,3000,0.2,5,82650,4.653338,2.84352,0.159802,52,611,121.760901,True
finance_audit,1723,3000,0.02,1,26210,2.49544,1.53515,0.162576,1,76,123.520322,True
finance_audit,1723,3000,0.05,1,40131,3.176925,1.958948,0.079757,5,158,123.520322,True
finance_audit,1723,3000,0.1,1,64834,4.599098,2.934922,0.083487,6,296,123.520322,True
finance_audit,1723,3000,0.2,1,77406,4.920825,3.289665,0.083803,9,563,123.520322,True
finance_audit,1723,3000,0.02,3,22674,2.40964,1.466271,0.14785,1,64,123.520322,True
finance_audit,1723,3000,0.05,3,40099,3.633148,2.213634,0.120162,8,164,123.520322,True
finance_audit,1723,3000,0.1,3,65243,4.171498,2.501268,0.117475,8,312,123.520322,True
finance_audit,1723,3000,0.2,3,77547,4.781561,2.994347,0.137267,28,572,123.520322,True
finance_audit,1723,3000,0.02,5,21176,2.22341,1.043021,0.237187,18,66,123.520322,True
finance_audit,1723,3000,0.05,5,38468,3.668447,2.282023,0.118438,28,145,123.520322,True
finance_audit,1723,3000,0.1,5,66341,4.441812,2.82292,0.15797,62,315,123.520322,True
finance_audit,1723,3000,0.2,5,47205,3.945882,2.441093,0.187043,110,579,123.520322,True
finance_audit,1759,3000,0.02,1,25027,2.51735,1.546184,0.186994,0,79,124.209667,True
finance_audit,1759,3000,0.05,1,38939,3.93526,2.26388,0.124063,7,146,124.209667,True
finance_audit,1759,3000,0.1,1,61440,3.779411,2.053906,0.117122,7,307,124.209667,True
finance_audit,1759,3000,0.2,1,75543,4.994662,3.029625,0.105474,15,559,124.209667,True
finance_audit,1759,3000,0.02,3,21820,2.641004,1.578622,0.145423,1,49,124.209667,True
finance_audit,1759,3000,0.05,3,33492,3.076128,1.846523,0.130759,13,128,124.209667,True
finance_audit,1759,3000,0.1,3,61945,4.022564,2.48645,0.118219,18,296,124.209667,True
finance_audit,1759,3000,0.2,3,75077,4.631813,2.805213,0.148017,19,568,124.209667,True
finance_audit,1759,3000,0.02,5,22836,2.973274,1.975611,0.186406,11,59,124.209667,True
finance_audit,1759,3000,0.05,5,40629,3.308547,2.049681,0.098902,31,159,124.209667,True
finance_audit,1759,3000,0.1,5,59274,4.032523,2.630882,0.105075,58,272,124.209667,True
finance_audit,1759,3000,0.2,5,79109,5.121084,3.20003,0.212,106,574,124.209667,True
finance_audit,1789,3000,0.02,1,24368,2.759564,1.609573,0.189707,1,63,121.150578,True
finance_audit,1789,3000,0.05,1,41564,3.993872,2.403353,0.091404,4,155,121.150578,True
finance_audit,1789,3000,0.1,1,33430,2.525019,1.352082,0.09359,7,283,121.150578,True
finance_audit,1789,3000,0.2,1,84365,4.91536,2.948035,0.110026,14,615,121.150578,True
finance_audit,1789,3000,0.02,3,25395,2.896684,1.992296,0.148303,2,73,121.150578,True
finance_audit,1789,3000,0.05,3,39629,3.571748,2.1157,0.062875,5,163,121.150578,True
finance_audit,1789,3000,0.1,3,58451,3.809908,2.492941,0.101255,16,269,121.150578,True
finance_audit,1789,3000,0.2,3,80332,5.369152,3.62227,0.118946,26,580,121.150578,True
finance_audit,1789,3000,0.02,5,21159,2.343255,1.378142,0.174404,15,59,121.150578,True
finance_audit,1789,3000,0.05,5,44250,3.918676,2.593848,0.102913,32,171,121.150578,True
finance_audit,1789,3000,0.1,5,63787,4.668233,3.296146,0.128705,68,286,121.150578,True
finance_audit,1789,3000,0.2,5,75885,4.759907,3.302155,0.170046,109,562,121.150578,True
